date,sides,Grimmsnarl ex_share,Grimmsnarl ex_win,Alakazam_share,Alakazam_win,M Kangaskhan ex_share,M Kangaskhan ex_win,Dragapult ex_share,Dragapult ex_win,M Lucario ex_share,M Lucario ex_win,743_share,743_win,M Lopunny ex_share,M Lopunny ex_win,Hydrapple ex_share,Hydrapple ex_win,304_share,304_win,TR Mewtwo ex_share,TR Mewtwo ex_win,Archaludon ex_share,Archaludon ex_win,Garchomp ex_share,Garchomp ex_win,M Starmie ex_share,M Starmie ex_win,345_share,345_win
2026-06-16,2597,,,,,0.0416,0.5,0.1775,0.4816,0.2372,0.6169,0.0119,0.7097,,,,,,,,,,,0.005,0.4615,,,0.027,0.7714
2026-06-17,15973,,,0.0085,0.6444,0.0256,0.445,0.085,0.4068,0.2833,0.4745,0.0342,0.5824,0.0031,0.2449,,,,,,,,,,,0.0034,0.5455,0.2866,0.6114
2026-06-18,13412,,,0.04,0.5168,0.0152,0.451,0.0193,0.3861,0.2953,0.5304,0.0772,0.5981,0.0057,0.4805,,,0.0053,0.662,,,,,,,0.0031,0.5,0.2945,0.4248
2026-06-19,11200,,,0.0422,0.4165,,,0.0095,0.4717,0.5595,0.5265,0.1214,0.5279,,,,,0.0248,0.6871,0.0186,0.5721,,,,,0.0063,0.5211,0.0613,0.3974
2026-06-20,10703,,,0.0331,0.4831,,,0.0142,0.5855,0.4068,0.4325,0.2308,0.5316,,,,,0.1873,0.604,0.0101,0.6389,,,0.0054,0.5517,0.0161,0.593,0.0108,0.2586
2026-06-21,10437,,,0.0528,0.5191,,,0.0649,0.616,0.1644,0.3578,0.2226,0.5084,,,,,0.3755,0.5159,0.0062,0.7231,,,0.0059,0.5484,0.0242,0.6719,0.0086,0.5667
2026-06-22,10470,,,0.0561,0.4889,,,0.0569,0.5906,0.1586,0.3709,0.2372,0.5097,,,,,0.3395,0.5041,0.0108,0.6637,,,0.0074,0.5769,0.0294,0.6364,0.006,0.4444
2026-06-23,13193,,,0.0317,0.5287,0.0196,0.3668,0.0961,0.5087,0.302,0.4925,0.1201,0.5823,0.0047,0.3387,,,0.1122,0.5892,0.0052,0.5797,,,,,0.0836,0.5095,0.0728,0.4927
2026-06-24,11383,,,0.0487,0.5415,0.0073,0.5422,0.068,0.5956,0.2434,0.4186,0.2039,0.5218,,,,,0.2276,0.5095,0.0113,0.6434,,,0.0059,0.4627,0.0697,0.5738,0.0188,0.4533
2026-06-25,11335,,,0.0605,0.5175,0.0059,0.5224,0.0663,0.5553,0.2438,0.4081,0.1811,0.5085,0.0036,0.439,,,0.2596,0.5335,0.0137,0.6129,,,,,0.091,0.5911,0.0045,0.3529
2026-06-26,11550,,,0.0605,0.5351,,,0.0773,0.5342,0.2166,0.4077,0.1325,0.5033,,,,,0.2072,0.476,0.0171,0.6345,0.0867,0.6414,,,0.1136,0.5427,,
2026-06-27,12196,,,0.0403,0.4817,,,0.0726,0.4932,0.1886,0.4248,0.1541,0.5255,,,,,0.1593,0.4431,0.0121,0.6284,0.1459,0.62,0.0067,0.5366,0.1369,0.5192,,
2026-06-28,12360,0.0117,0.6276,0.0329,0.5233,0.0061,0.5658,0.0652,0.4429,0.1409,0.4116,0.1551,0.5253,,,,,0.1029,0.4009,0.0104,0.5504,0.3024,0.5795,0.0055,0.5294,0.1043,0.4538,,
2026-06-29,12335,0.0208,0.6615,0.0443,0.533,0.0055,0.5588,0.066,0.4373,0.0824,0.3976,0.1711,0.5389,,,,,0.0591,0.3429,0.0092,0.4956,0.4062,0.5325,0.0061,0.44,0.0705,0.4276,,
2026-06-30,11816,0.0554,0.6321,0.0934,0.519,0.0096,0.5575,0.0689,0.4398,0.0201,0.416,0.2376,0.5166,,,,,0.0147,0.4885,0.0107,0.5197,0.2892,0.4835,0.0388,0.4902,0.0779,0.4517,0.017,0.5323
2026-07-01,10866,0.2471,0.568,0.0932,0.4393,0.0518,0.5382,0.0081,0.4432,0.0381,0.5459,0.1987,0.4289,,,,,0.0364,0.5328,0.005,0.6667,0.1535,0.4838,0.0046,0.4,0.0542,0.4737,0.0036,0.3077
2026-07-02,10652,0.2936,0.5635,0.0398,0.4033,0.0414,0.5397,0.0023,0.3333,0.0506,0.5195,0.1759,0.3986,,,,,0.0199,0.4953,0.0161,0.5439,0.1314,0.4864,0.0161,0.436,0.0477,0.563,0.0206,0.4795
2026-07-03,10599,0.2179,0.5909,0.1088,0.4831,0.0543,0.5235,0.0141,0.5906,0.0506,0.5056,0.178,0.4367,,,,,0.0117,0.4839,,,0.0486,0.3922,0.0124,0.3817,0.0916,0.5396,0.0279,0.4595
2026-07-04,10274,0.325,0.5412,0.0656,0.411,0.0745,0.6248,0.0233,0.4435,0.0265,0.4412,0.0821,0.427,,,,,,,0.0264,0.5756,0.0627,0.4503,0.036,0.5568,0.1037,0.5164,0.0281,0.3287
2026-07-05,10393,0.3188,0.505,0.1335,0.5278,0.1047,0.5533,0.0167,0.408,0.0293,0.4852,0.1047,0.4642,0.0107,0.5315,,,,,0.012,0.608,0.0309,0.3178,0.0876,0.5857,0.0474,0.499,0.0127,0.3258
2026-07-06,11007,0.2666,0.4782,0.1729,0.4919,0.1231,0.5668,0.0277,0.5475,0.0146,0.4161,0.0818,0.4467,0.0172,0.4868,,,,,0.0134,0.4762,0.0471,0.4228,0.0917,0.555,0.0463,0.5373,,
2026-07-07,10750,0.2032,0.4565,0.1929,0.5034,0.1277,0.5696,0.035,0.5798,0.0531,0.4536,0.0734,0.4233,,,,,,,0.0081,0.5287,0.0268,0.4549,0.0729,0.5319,0.033,0.5239,,
2026-07-08,10739,0.1692,0.4915,0.2029,0.4814,0.1119,0.5275,0.0257,0.4819,0.0423,0.4559,0.1189,0.4777,,,,,,,0.0113,0.5289,0.0346,0.4866,0.0701,0.5644,0.068,0.5726,,
2026-07-09,10077,0.144,0.4693,0.2506,0.5129,0.1301,0.5294,0.0213,0.5535,0.0367,0.4811,0.1532,0.5026,,,,,,,0.0181,0.533,0.0362,0.4986,0.0743,0.5007,0.0356,0.5097,,
2026-07-10,10788,0.1215,0.4561,0.3192,0.525,0.194,0.5356,0.0232,0.504,0.0238,0.3774,0.0799,0.4606,,,,,,,0.0138,0.5772,0.0187,0.3911,0.057,0.5333,0.0552,0.5378,0.0061,0.3636
2026-07-11,10355,0.095,0.4421,0.3581,0.4946,0.209,0.5619,0.056,0.5586,0.0338,0.3714,0.0268,0.4079,0.0066,0.4853,,,,,0.0352,0.5808,0.0084,0.4138,0.0651,0.4852,0.0216,0.4866,0.0047,0.449
2026-07-12,10418,0.0945,0.4751,0.3445,0.5007,0.2211,0.5206,0.0489,0.4912,0.0108,0.3571,0.0305,0.4245,0.0105,0.5046,,,,,0.045,0.6375,0.0114,0.3697,0.0572,0.5101,0.0391,0.5602,0.0156,0.3889
2026-07-13,10390,0.1437,0.5151,0.4275,0.5032,0.2043,0.5054,0.0189,0.4592,0.0026,0.3704,0.0148,0.3442,0.0059,0.4754,,,,,0.0513,0.5741,0.014,0.4207,0.0215,0.4081,0.0716,0.5376,0.0046,0.3125
